hoogte_m,ondergrond_hard,bal_stuiter,bal_tennis,bal_pingpong,stuiters
1.0,1,1,0,0,25
1.8,1,0,0,0,2
0.2,1,0,1,0,3
2.1,1,0,0,0,2
1.5,1,1,0,0,28
1.3,0,1,0,0,6
1.9,0,0,1,0,6
2.2,0,0,1,0,8
2.1,0,0,0,0,2
1.0,0,0,0,0,1
0.8,1,0,1,0,8
1.8,0,1,0,0,7
1.4,0,1,0,0,6
1.5,0,0,0,1,7
1.5,0,0,0,1,7
0.6,0,0,0,1,5
0.3,0,0,0,1,4
1.3,0,1,0,0,6
2.0,0,1,0,0,6
1.7,1,1,0,0,24
1.8,1,1,0,0,29
1.9,1,1,0,0,30
1.6,1,1,0,0,20
0.8,1,0,0,1,18
0.3,1,0,0,1,20
0.6,1,0,0,1,19
2.2,1,0,0,0,1
1.7,1,0,1,0,10
1.8,1,1,0,0,24
2.1,1,1,0,0,22
2.3,1,1,0,0,18
2.3,1,1,0,0,18
2.3,1,1,0,0,20
2.3,1,1,0,0,17
2.3,0,1,0,0,6
1.1,0,1,0,0,5
1.0,0,0,1,0,5
1.6,0,0,0,1,5
1.8,0,0,0,1,6
1.1,0,0,1,0,6
1.5,1,0,1,0,11
1.5,1,0,1,0,11
1.5,1,0,1,0,10
1.5,1,0,1,0,10
1.4,1,0,1,0,10
